experiment,image,abnormal_score,normal_score,prediction,actual,
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_01.png,0.32144558,0.5215063,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_32.png,0.21824154,0.6326938,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_38.png,0.10941099,0.7488328,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_05.png,0.108540446,0.75103176,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_14.png,0.09283523,0.76211905,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_50.png,0.11861447,0.7500174,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_17.png,0.09737267,0.7750327,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_11.png,0.14477219,0.7127194,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_42.png,0.45460194,0.3992854,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_53.png,0.09813092,0.7580992,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_49.png,0.11525508,0.74103487,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_02.png,0.78759205,0.088229336,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_48.png,0.21874116,0.6185759,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_37.png,0.13698174,0.7169818,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_35.png,0.16000447,0.70446944,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_04.png,0.19917256,0.6409253,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_52.png,0.14014724,0.7169468,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_47.png,0.10472365,0.752967,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_15.png,0.09953982,0.75639856,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_40.png,0.117533945,0.74294734,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_31.png,0.33445674,0.50882465,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_25.png,0.11192001,0.7531956,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_06.png,0.17226084,0.68637717,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_24.png,0.2974111,0.54504365,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_45.png,0.17431551,0.67653096,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_30.png,0.09401336,0.76139605,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_21.png,0.103501715,0.7529582,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_43.png,0.10369831,0.7549554,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_39.png,0.21281472,0.6334896,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_34.png,0.20156717,0.6461508,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_19.png,0.16832805,0.68856514,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_12.png,0.45305628,0.3989732,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_36.png,0.09147626,0.76311284,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_27.png,0.1205124,0.74164754,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_10.png,0.6614818,0.2157119,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_23.png,0.49378633,0.36722103,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_26.png,0.11910463,0.73408836,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_33.png,0.54125047,0.32426268,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_08.png,0.09304533,0.7617703,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_22.png,0.05091049,0.8488281,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_44.png,0.8131138,0.06797128,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_07.png,0.46610928,0.38948524,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_29.png,0.22700852,0.6165572,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_46.png,0.53449273,0.331034,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_41.png,0.47275466,0.3869661,0,1,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_16.png,0.11116231,0.75056815,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_13.png,0.32728022,0.5173933,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_09.png,0.11382964,0.7548503,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_28.png,0.33341536,0.5061875,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Normal/Validation_Normal_51.png,0.42066336,0.42687336,1,1,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_22.png,0.4234305,0.43165895,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_21.png,0.58822554,0.2846899,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_36.png,0.45418558,0.3965285,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_41.png,0.75046986,0.11927263,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_28.png,0.7838505,0.09157836,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_23.png,0.546405,0.32369858,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_04.png,0.39615536,0.45210448,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_47.png,0.50193155,0.35942924,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_11.png,0.48948723,0.3645862,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_12.png,0.18878767,0.6572294,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_50.png,0.1339552,0.7197988,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_39.png,0.8346685,0.05286095,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_25.png,0.76203144,0.110190816,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_02.png,0.8341876,0.053212848,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_43.png,0.82817835,0.057252202,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_26.png,0.5731213,0.29506236,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_30.png,0.8253305,0.059139073,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_48.png,0.40662605,0.44266522,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_01.png,0.5263787,0.33905604,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_03.png,0.83647966,0.051651467,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_15.png,0.77676237,0.09687959,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_14.png,0.8142666,0.06709851,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_17.png,0.22451416,0.6210485,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_44.png,0.82817835,0.057252202,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_32.png,0.29380086,0.5514178,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_46.png,0.7317811,0.13648057,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_16.png,0.8160395,0.06564879,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_20.png,0.80490863,0.07432708,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_29.png,0.7943827,0.082459964,0,0,1
